SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
3235,464,0.00302152289779,Ilulissat,Sisimiut,GRL,GRL,69.21667,-51.1,66.95,-53.68333,11,1.44,1.69,32.98,33.1
1235,5066,0.000296374594376,Eskifjordur,Harstad,ISL,NOR,65.08333,-13.98333,68.8,16.55,1,4.24,7,34.53,33.69
4158,2378,0.00025634539544,Faskrudhsfjordur,Vopnafjordur,ISL,ISL,64.9295,-14.0119,65.75,-14.81667,2,6.015,4.04,34.471,34.5
1711,1220,0.000123257619666,Bolungavik,Hafnarfjordur,ISL,ISL,66.16667,-23.23333,64.06667,-21.91667,1,5.31,6.52,34.49,34.7
3218,2019,0.00167068255423,Reykjavik,Sandgerdhi,ISL,ISL,64.14972,-21.9475,64.05,-22.71667,3,6.52,7.53,34.7,34.71
3218,4175,0.000252710569913,Reykjavik,Sortland,ISL,NOR,64.14972,-21.9475,68.7,15.43333,1,6.52,7.24,34.7,33.92
1142,2186,4.39094561173e-05,Torshavn,Nuuk,FRO,GRL,62,-6.75,64.16667,-51.73333,2,8.39,1.37,35.17,32.31
180,8652,0.000131614897106,Oksfjord,Myre,NOR,NOR,70.23333,22.3,69.08333,15.95,1,6.21,7.22,34.47,33.99
2378,4602,0.00137527265488,Vopnafjordur,Neskaupstadur,ISL,ISL,65.75,-14.81667,65.15,-13.68333,7,4.04,4.59,34.5,34.3
8652,1907,0.000163529956831,Myre,Bodo,NOR,NOR,69.08333,15.95,67.28333,14.38333,1,7.22,7.04,33.99,32.78
5082,2812,0.000240301363185,Tromso,Kandalaksha,NOR,RUS,69.65,18.96667,67.13333,32.43333,2,4.14,3.09,12.35,21.66
4364,3469,0.325638530044,Kirkenes,Hammerfest,NOR,NOR,69.73333,30.05,70.66667,23.66667,598,5.23,6.16,16.25,34.44
4602,3507,7.71428038573e-05,Neskaupstadur,Seydhisfjordur,ISL,ISL,65.15,-13.68333,65.25,-13.91667,5,4.59,4.1,34.3,23.89
6190,1142,0.000203815832568,Hofn,Torshavn,ISL,FRO,64.26667,-15.21667,62,-6.75,1,6.51,8.39,34.84,35.17
2548,3433,0.000164888364737,Akureyri,Stykkisholmur,ISL,ISL,65.68333,-18.05,65.06667,-22.68333,1,4.9,3.87,18.37,33.9
4414,4729,0.00345208183441,Honningsvaag,Narvik,NOR,NOR,70.98333,25.98333,68.43333,17.43333,1,6.02,3.55,34.34,4.16
