SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
3486,5241,0.109569744,Aabenraa,Murmansk,DNK,RUS,55.03333,9.43333,68.96667,33.08333,3,9.69,3.37,18.67,6.55
8842,5241,0.109039776,Huanghua,Murmansk,CHN,RUS,38.36667,117.33333,68.96667,33.08333,2,15.41,3.37,29.17,6.55
130,5241,0.108937996,Port Elizabeth,Murmansk,ZAF,RUS,-33.96667,25.63333,68.96667,33.08333,3,19.92,3.37,35.29,6.55
2275,5241,0.108322901,Cork,Murmansk,IRL,RUS,51.9,-8.46667,68.96667,33.08333,5,11.8,3.37,17.01,6.55
4059,4729,0.107944265,Corunna,Narvik,ESP,NOR,43.38333,-8.36667,68.43333,17.43333,2,15.94,3.55,35.59,4.16
2762,6188,0.106716254,Aalborg,Helguvik,DNK,ISL,57.05,9.91667,64.38333,-21.46667,9,9.57,4.85,27.65,19.36
1826,5241,0.106080903,Pasajes,Murmansk,ESP,RUS,43.33333,-1.93333,68.96667,33.08333,7,15.24,3.37,35.17,6.55
3326,2654,0.104852974,Vila do Conde,Reydharfjordur,BRA,ISL,-1.55,-48.75,65.0333,-14.2167,3,27.54,6.015,11.21,34.471
4059,5241,0.104204393,Corunna,Murmansk,ESP,RUS,43.38333,-8.36667,68.96667,33.08333,7,15.94,3.37,35.59,6.55
5546,53,0.103445559,Holla,Grundartangi,NOR,ISL,63.28333,9.11667,64.35,-21.78333,8,6.49,5.13,11.98,24.33
576,1547,0.102827942,Antwerp,Little Cornwallis Is.,BEL,CAN,51.24472,4.41139,75.38333,-96.95,3,11.97,0,0.31,30.24
2945,4021,0.101913636,Falmouth,Churchill,GBR,CAN,50.16667,-5.05,58.78333,-94.21667,3,12.62,4.32,35.24,26.33
4059,374,0.10111227,Corunna,Hammerfall,ESP,NOR,43.38333,-8.36667,67.41667,15.53333,9,15.94,4.7,35.59,10.27
4050,5241,0.100867429,Puerto Ordaz,Murmansk,VEN,RUS,8.35,-62.71667,68.96667,33.08333,4,27.72,3.37,0,6.55
576,3960,0.100596015,Antwerp,Dudinka,BEL,RUS,51.24472,4.41139,69.4,86.16667,4,11.97,0,0.31,0
830,4021,0.100557884,Rotterdam,Churchill,NLD,CAN,51.9,4.48333,58.78333,-94.21667,3,11.4,4.32,1.78,26.33
5828,53,0.098281512,Xingang,Grundartangi,CHN,ISL,38.98333,117.75,64.35,-21.78333,4,15.3,5.13,28.98,24.33
369,1547,0.098078161,Montreal,Little Cornwallis Is.,CAN,CAN,45.5,-73.55,75.38333,-96.95,4,8.54,0,0,30.24
2531,5241,0.096853108,Esbjerg,Murmansk,DNK,RUS,55.46667,8.43333,68.96667,33.08333,9,9.84,3.37,30.65,6.55
369,3371,0.094522457,Montreal,Nanisivik,CAN,CAN,45.5,-73.55,73.06667,-84.55,4,8.54,0,0,7.54
3072,5241,0.093973458,Scheveningen,Murmansk,NLD,RUS,52.1,4.26667,68.96667,33.08333,3,11.35,3.37,31.3,6.55
576,53,0.092664333,Antwerp,Grundartangi,BEL,ISL,51.24472,4.41139,64.35,-21.78333,15,11.97,5.13,0.31,24.33
7598,5494,0.092533215,Oakland,Dutch Hbr.,USA,USA,37.8,-122.28333,53.9,-166.53333,302,16.46,5.94,4.17,32.51
576,4364,0.091891945,Antwerp,Kirkenes,BEL,NOR,51.24472,4.41139,69.73333,30.05,4,11.97,5.23,0.31,16.25
2993,2812,0.091145825,Hamburg,Kandalaksha,DEU,RUS,53.55,9.96667,67.13333,32.43333,4,10.61,3.09,25.09,21.66
2762,5241,0.091096816,Aalborg,Murmansk,DNK,RUS,57.05,9.91667,68.96667,33.08333,4,9.57,3.37,27.65,6.55
1678,4729,0.089816201,Glasgow,Narvik,GBR,NOR,55.86667,-4.28333,68.43333,17.43333,3,10.25,3.55,0.57,4.16
1304,53,0.089813725,Szczecin,Grundartangi,POL,ISL,53.41667,14.55,64.35,-21.78333,26,10.61,5.13,7.8,24.33
42,2812,0.08956645,Immingham,Kandalaksha,GBR,RUS,53.63333,-0.18333,67.13333,32.43333,4,9.97,3.09,33.48,21.66
854,4729,0.089280027,Baltimore,Narvik,USA,NOR,39.28333,-76.58333,68.43333,17.43333,1,15.72,3.55,11.85,4.16
5717,5241,0.088665541,Brunsbuttel,Murmansk,DEU,RUS,53.9,9.13333,68.96667,33.08333,3,10.53,3.37,25.09,6.55
2485,5241,0.088102267,Coryton,Murmansk,GBR,RUS,51.51667,0.53333,68.96667,33.08333,8,11.98,3.37,20.75,6.55
3394,5241,0.088092049,Corpus Christi,Murmansk,USA,RUS,27.8,-97.38333,68.96667,33.08333,5,23.82,3.37,12.95,6.55
42,5835,0.088048695,Immingham,Advent Bay,GBR,SJM,53.63333,-0.18333,78.25,15.58333,2,9.97,0.23,33.48,33.73
9472,5241,0.087966842,Caofeidian,Murmansk,CHN,RUS,38.9223,118.5058,68.96667,33.08333,1,24.41,3.37,30.67,6.55
2649,4021,0.087966842,Ymuiden,Churchill,NLD,CAN,52.45,4.58333,58.78333,-94.21667,1,11.23,4.32,31.06,26.33
1071,5241,0.087894315,Tor Bay,Murmansk,GBR,RUS,50.4289,-3.522,68.96667,33.08333,1,12.41,3.37,35.16,6.55
7596,5241,0.087894315,Norfolk(USA),Murmansk,USA,RUS,36.85,-76.31667,68.96667,33.08333,1,17.25,3.37,27.56,6.55
502,6311,0.087833326,Kawasaki,Red Dog,JPN,USA,35.5,139.75,67.58333,-164.05,2,17.94,0.36,19.95,30.12
1678,5241,0.087813361,Glasgow,Murmansk,GBR,RUS,55.86667,-4.28333,68.96667,33.08333,3,10.25,3.37,0.57,6.55
2993,3960,0.087502165,Hamburg,Dudinka,DEU,RUS,53.55,9.96667,69.4,86.16667,7,10.61,0,25.09,0
1263,6311,0.08666766,Kagoshima,Red Dog,JPN,USA,31.58333,130.56667,67.58333,-164.05,1,19.15,0.36,4.61,30.12
3422,6311,0.086611955,Aviles,Red Dog,ESP,USA,43.58333,-5.93333,67.58333,-164.05,1,15.56,0.36,35.53,30.12
2842,2272,0.085865369,Yokohama,Nome,JPN,USA,35.45,139.66667,64.51667,-165.41667,1,17.64,1.37,22.49,29.75
4448,5241,0.085403507,Bordeaux,Murmansk,FRA,RUS,44.83333,-0.56667,68.96667,33.08333,10,14.91,3.37,0,6.55
2101,5241,0.084800772,Barcelona,Murmansk,ESP,RUS,41.35,2.16667,68.96667,33.08333,3,17.24,3.37,37.85,6.55
835,4364,0.084660239,Nordenham,Kirkenes,DEU,NOR,53.48333,8.48333,69.73333,30.05,1,10.84,5.23,27.33,16.25
305,2812,0.084416709,Dalhousie,Kandalaksha,CAN,RUS,48.06667,-66.36667,67.13333,32.43333,1,5.65,3.09,28.13,21.66
947,2654,0.083876941,Aardalstangen,Reydharfjordur,NOR,ISL,61.23333,7.7,65.0333,-14.2167,6,3.44,6.015,0,34.471
